ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,MntWines,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AmtTotal,%Wine_Share,Wine_Spend,Age,Purchase_Vol,Num_Children,Parent,Parent2,Loyalitas_Bulan,Education2,cluster,pca_x,pca_y
5524,1957,Graduate,Single,58138.0,0,0,2012-04-09,635,8,10,4,1617,39.3,635,57,22,0,No,0,32.7,1.0,0,1.614717617088244,2.0208503410344294
2174,1954,Graduate,Single,46344.0,1,1,2014-08-03,11,1,1,2,27,40.7,11,60,4,2,Yes,1,4.9,1.0,1,-1.7351402600003178,-1.429944754482364
4141,1965,Graduate,Together,71613.0,0,0,2013-08-21,426,8,2,10,776,54.9,426,49,20,0,No,0,16.3,1.0,0,0.9492271876544761,-0.22736574387967537
6182,1984,Graduate,Together,26646.0,1,0,2014-10-02,11,2,0,4,53,20.8,11,30,6,1,Yes,1,3.0,1.0,1,-1.9834545974406148,-1.2446145477761963
5324,1981,Postgraduate,Married,58293.0,1,0,2014-01-19,173,5,3,6,422,41.0,173,33,14,1,Yes,1,11.4,2.0,1,-0.4202452997729304,-0.5769462126734769
7446,1967,Postgraduate,Together,62513.0,0,1,2013-09-09,520,6,4,10,716,72.6,520,47,20,1,Yes,1,15.7,2.0,0,1.4475156698204332,-0.6518064966211911
965,1971,Graduate,Divorced,55635.0,0,1,2012-11-13,235,7,3,7,590,39.8,235,43,17,1,Yes,1,25.6,1.0,0,0.26413399237169904,1.1511496154334782
6177,1985,Postgraduate,Married,33454.0,1,0,2013-08-05,76,4,0,4,169,45.0,76,29,8,1,Yes,1,16.9,2.0,1,-0.9093912113238894,-0.059422410202058656
4855,1974,Postgraduate,Together,30351.0,1,0,2013-06-06,14,3,0,2,46,30.4,14,40,5,1,Yes,1,18.8,2.0,1,-1.510658901312119,0.4246581695304462
5899,1950,Postgraduate,Together,5648.0,1,1,2014-03-13,28,1,0,0,49,57.1,28,64,1,2,Yes,1,9.6,2.0,1,-1.5381067422048942,-1.2274481675676443
387,1976,Undergraduate,Married,7500.0,0,0,2012-11-13,6,2,0,3,61,9.8,6,38,5,0,No,0,25.6,0.0,1,-1.7516198001850911,1.6320627016211748
2125,1959,Graduate,Divorced,63033.0,0,0,2013-11-15,194,3,4,8,1102,17.6,194,55,15,0,No,0,13.5,1.0,1,-0.6838974527969998,0.13774654860894503
8180,1952,Postgraduate,Divorced,59354.0,1,1,2013-11-15,233,6,1,5,310,75.2,233,62,12,2,Yes,1,13.5,2.0,1,0.21602939608141106,-1.0230174258575107
2569,1987,Graduate,Married,17323.0,0,0,2012-10-10,3,1,0,3,46,6.5,3,27,4,0,No,0,26.7,1.0,1,-1.8776971200452564,1.816573088715898
2114,1946,Postgraduate,Single,82800.0,0,0,2012-11-24,1006,7,6,12,1315,76.5,1006,68,25,0,No,0,25.2,2.0,0,3.102640589334433,0.4088726621147008
9736,1980,Graduate,Married,41850.0,1,1,2012-12-24,53,3,0,3,96,55.2,53,34,6,2,Yes,1,24.2,1.0,1,-0.7598826579278453,0.5850837710258596
4939,1946,Graduate,Together,37760.0,0,0,2012-08-31,84,4,1,6,317,26.5,84,68,11,0,No,0,28.0,1.0,1,-0.7257918785908306,1.6448514877966698
6565,1949,Postgraduate,Married,76995.0,0,1,2013-03-28,1012,11,4,9,1782,56.8,1012,65,24,1,Yes,1,21.1,2.0,0,2.56461740818429,0.2988688566751426
